Registered,Total - Started,Total - Completed
24/11/2015,0,0
25/11/2015,0,0
26/11/2015,0,0
27/11/2015,4,4
28/11/2015,4,4
29/11/2015,4,4
30/11/2015,4,4
01/12/2015,4,4
02/12/2015,4,4
03/12/2015,4,4
04/12/2015,4,4
05/12/2015,4,4
06/12/2015,4,4
07/12/2015,5,5
08/12/2015,6,6
09/12/2015,6,6
10/12/2015,6,6
11/12/2015,6,6
12/12/2015,6,6
13/12/2015,6,6
14/12/2015,6,6
15/12/2015,6,6
16/12/2015,6,6
17/12/2015,6,6
18/12/2015,6,6
19/12/2015,20,19
20/12/2015,20,19
21/12/2015,20,19
22/12/2015,20,19
23/12/2015,20,19
24/12/2015,20,19
25/12/2015,20,19
26/12/2015,20,19
27/12/2015,20,19
28/12/2015,20,19
29/12/2015,20,19
30/12/2015,20,19
31/12/2015,20,19
01/01/2016,20,19
02/01/2016,20,19
03/01/2016,20,19
04/01/2016,20,19
05/01/2016,21,20
06/01/2016,23,21
07/01/2016,23,21
08/01/2016,23,21
09/01/2016,23,21
10/01/2016,23,21
11/01/2016,23,21
12/01/2016,23,21
13/01/2016,23,21
14/01/2016,24,22
15/01/2016,25,23
16/01/2016,25,23
17/01/2016,25,23
18/01/2016,28,26
19/01/2016,28,26
20/01/2016,28,26
21/01/2016,28,26
22/01/2016,28,26
23/01/2016,28,26
24/01/2016,28,26
25/01/2016,28,26
26/01/2016,28,26
27/01/2016,29,27
28/01/2016,29,27
29/01/2016,29,27
30/01/2016,29,27
31/01/2016,29,27
01/02/2016,29,27
02/02/2016,29,27
03/02/2016,29,27
04/02/2016,29,27
05/02/2016,29,27
06/02/2016,29,27
07/02/2016,29,27
08/02/2016,29,27
09/02/2016,29,27
10/02/2016,29,27
11/02/2016,29,27
12/02/2016,29,27
13/02/2016,29,27
14/02/2016,29,27
15/02/2016,29,27
16/02/2016,29,27
17/02/2016,29,27
18/02/2016,29,27
19/02/2016,29,27
20/02/2016,29,27
21/02/2016,29,27
22/02/2016,29,27
23/02/2016,29,27
24/02/2016,29,27
25/02/2016,29,27
26/02/2016,29,27
27/02/2016,29,27
28/02/2016,29,27
29/02/2016,29,27
01/03/2016,29,27
02/03/2016,29,27
03/03/2016,29,27
04/03/2016,29,27
05/03/2016,29,27
06/03/2016,29,27
07/03/2016,29,27
08/03/2016,30,28
09/03/2016,30,28
10/03/2016,30,28
11/03/2016,30,28
12/03/2016,30,28
13/03/2016,30,28
14/03/2016,30,28
15/03/2016,30,28
16/03/2016,30,28
17/03/2016,30,28
18/03/2016,30,28
19/03/2016,30,28
20/03/2016,30,28
21/03/2016,30,28
22/03/2016,30,28
23/03/2016,30,28
24/03/2016,30,28
25/03/2016,30,28
26/03/2016,30,28
27/03/2016,30,28
28/03/2016,30,28
29/03/2016,30,28
30/03/2016,30,28
31/03/2016,30,28
01/04/2016,30,28
02/04/2016,30,28
03/04/2016,30,28
04/04/2016,30,28
05/04/2016,30,28
06/04/2016,30,28
07/04/2016,31,28
08/04/2016,31,28
09/04/2016,31,28
10/04/2016,31,28
11/04/2016,31,28
12/04/2016,31,28
13/04/2016,31,28
14/04/2016,31,28
15/04/2016,31,28
16/04/2016,31,28
17/04/2016,31,28
18/04/2016,31,28
19/04/2016,31,28
20/04/2016,31,28
21/04/2016,33,28
22/04/2016,33,28
23/04/2016,33,28
24/04/2016,33,28
25/04/2016,33,28
26/04/2016,33,28
27/04/2016,33,28
28/04/2016,33,28
29/04/2016,33,28
30/04/2016,33,28
01/05/2016,33,28
02/05/2016,33,28
03/05/2016,33,28
04/05/2016,33,28
05/05/2016,33,28
06/05/2016,33,28
07/05/2016,33,28
08/05/2016,33,28
09/05/2016,33,28
10/05/2016,33,28
11/05/2016,33,28
12/05/2016,33,28
13/05/2016,33,28
14/05/2016,33,28
15/05/2016,33,28
16/05/2016,33,28
17/05/2016,33,28
18/05/2016,33,28
19/05/2016,33,28
20/05/2016,33,28
21/05/2016,33,28
22/05/2016,33,28
23/05/2016,33,28
24/05/2016,33,28
25/05/2016,33,28
26/05/2016,33,28
27/05/2016,33,28
28/05/2016,33,28
29/05/2016,33,28
30/05/2016,33,28
31/05/2016,33,28
01/06/2016,33,28
02/06/2016,33,28
03/06/2016,33,28
04/06/2016,33,28
05/06/2016,33,28
06/06/2016,33,28
07/06/2016,33,28
08/06/2016,33,28
09/06/2016,33,28
10/06/2016,33,28
11/06/2016,33,28
12/06/2016,33,28
13/06/2016,33,28
14/06/2016,33,28
15/06/2016,33,28
16/06/2016,33,28
17/06/2016,33,28
18/06/2016,33,28
19/06/2016,33,28
20/06/2016,33,28
21/06/2016,33,28
22/06/2016,33,28
23/06/2016,33,28
24/06/2016,33,28
25/06/2016,33,28
26/06/2016,33,28
27/06/2016,33,28
28/06/2016,33,28
29/06/2016,33,28
30/06/2016,33,28
01/07/2016,33,28
02/07/2016,33,28
03/07/2016,33,28
04/07/2016,33,28
05/07/2016,33,28
06/07/2016,33,28
07/07/2016,33,28
08/07/2016,33,28
09/07/2016,33,28
10/07/2016,33,28
11/07/2016,33,28
12/07/2016,33,28
13/07/2016,33,28
14/07/2016,33,28
15/07/2016,33,28
16/07/2016,33,28
17/07/2016,33,28
18/07/2016,33,28
19/07/2016,33,28
20/07/2016,33,28
21/07/2016,33,28
22/07/2016,33,28
23/07/2016,33,28
24/07/2016,33,28
