Date,Visitors (Total)
01/01/2016,0
02/01/2016,0
03/01/2016,0
04/01/2016,0
05/01/2016,0
06/01/2016,0
07/01/2016,0
08/01/2016,0
09/01/2016,0
10/01/2016,0
11/01/2016,0
12/01/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,1
16/01/2016,1
17/01/2016,1
18/01/2016,5
19/01/2016,6
20/01/2016,6
21/01/2016,6
22/01/2016,10
23/01/2016,10
24/01/2016,10
25/01/2016,12
26/01/2016,12
27/01/2016,13
28/01/2016,15
29/01/2016,15
30/01/2016,15
31/01/2016,15
01/02/2016,16
02/02/2016,17
03/02/2016,18
04/02/2016,26
05/02/2016,38
06/02/2016,39
07/02/2016,39
08/02/2016,47
09/02/2016,60
10/02/2016,64
11/02/2016,72
12/02/2016,76
13/02/2016,77
14/02/2016,79
15/02/2016,87
16/02/2016,92
17/02/2016,99
18/02/2016,146
19/02/2016,157
20/02/2016,162
21/02/2016,163
22/02/2016,166
23/02/2016,173
24/02/2016,178
25/02/2016,181
26/02/2016,184
27/02/2016,184
28/02/2016,184
29/02/2016,185
01/03/2016,190
02/03/2016,192
03/03/2016,199
04/03/2016,199
05/03/2016,200
06/03/2016,200
07/03/2016,201
08/03/2016,203
09/03/2016,203
10/03/2016,204
11/03/2016,205
12/03/2016,205
13/03/2016,205
14/03/2016,210
15/03/2016,211
16/03/2016,211
17/03/2016,213
18/03/2016,215
19/03/2016,215
20/03/2016,215
21/03/2016,216
22/03/2016,229
23/03/2016,235
24/03/2016,235
25/03/2016,235
26/03/2016,235
27/03/2016,235
28/03/2016,236
29/03/2016,238
30/03/2016,240
31/03/2016,242
01/04/2016,246
02/04/2016,247
03/04/2016,250
04/04/2016,263
05/04/2016,281
06/04/2016,299
07/04/2016,313
08/04/2016,319
09/04/2016,320
10/04/2016,321
11/04/2016,324
12/04/2016,329
13/04/2016,332
14/04/2016,332
15/04/2016,332
16/04/2016,333
17/04/2016,333
18/04/2016,351
19/04/2016,359
20/04/2016,364
21/04/2016,376
22/04/2016,382
23/04/2016,382
24/04/2016,383
25/04/2016,386
26/04/2016,387
27/04/2016,390
28/04/2016,390
29/04/2016,393
30/04/2016,393
01/05/2016,393
02/05/2016,394
03/05/2016,396
04/05/2016,397
05/05/2016,398
06/05/2016,400
07/05/2016,400
08/05/2016,400
09/05/2016,403
10/05/2016,404
11/05/2016,408
12/05/2016,410
13/05/2016,414
14/05/2016,415
15/05/2016,416
16/05/2016,419
17/05/2016,422
18/05/2016,427
19/05/2016,430
20/05/2016,436
21/05/2016,440
22/05/2016,442
23/05/2016,445
24/05/2016,446
25/05/2016,447
26/05/2016,451
27/05/2016,453
28/05/2016,453
29/05/2016,455
30/05/2016,457
31/05/2016,461
01/06/2016,466
02/06/2016,468
03/06/2016,470
04/06/2016,472
05/06/2016,473
06/06/2016,474
07/06/2016,478
08/06/2016,479
09/06/2016,484
10/06/2016,487
11/06/2016,487
12/06/2016,487
13/06/2016,491
14/06/2016,493
15/06/2016,495
16/06/2016,497
17/06/2016,498
18/06/2016,498
19/06/2016,500
20/06/2016,502
21/06/2016,503
22/06/2016,504
23/06/2016,504
24/06/2016,505
25/06/2016,505
26/06/2016,505
27/06/2016,505
28/06/2016,505
29/06/2016,508
30/06/2016,510
01/07/2016,510
02/07/2016,511
03/07/2016,511
04/07/2016,512
05/07/2016,544
06/07/2016,602
07/07/2016,626
08/07/2016,639
09/07/2016,657
10/07/2016,660
11/07/2016,669
12/07/2016,673
13/07/2016,678
14/07/2016,681
15/07/2016,681
16/07/2016,682
17/07/2016,683
18/07/2016,687
19/07/2016,691
20/07/2016,692
21/07/2016,692
22/07/2016,699
23/07/2016,701
24/07/2016,711
25/07/2016,717
26/07/2016,720
27/07/2016,730
28/07/2016,738
29/07/2016,738
30/07/2016,738
31/07/2016,739
01/08/2016,741
02/08/2016,742
03/08/2016,742
04/08/2016,745
05/08/2016,745
06/08/2016,745
07/08/2016,745
08/08/2016,751
09/08/2016,755
10/08/2016,756
11/08/2016,757
12/08/2016,757
13/08/2016,757
14/08/2016,757
15/08/2016,760
16/08/2016,764
17/08/2016,765
18/08/2016,768
19/08/2016,769
20/08/2016,769
21/08/2016,769
22/08/2016,771
23/08/2016,771
24/08/2016,772
25/08/2016,776
26/08/2016,779
27/08/2016,780
28/08/2016,780
29/08/2016,782
30/08/2016,783
31/08/2016,784
01/09/2016,787
02/09/2016,787
03/09/2016,787
04/09/2016,787
05/09/2016,787
06/09/2016,789
07/09/2016,796
08/09/2016,800
09/09/2016,802
10/09/2016,803
11/09/2016,806
12/09/2016,806
13/09/2016,807
14/09/2016,812
15/09/2016,816
16/09/2016,823
17/09/2016,823
18/09/2016,823
19/09/2016,823
20/09/2016,826
21/09/2016,827
22/09/2016,827
23/09/2016,827
24/09/2016,827
25/09/2016,827
26/09/2016,835
27/09/2016,838
28/09/2016,839
29/09/2016,843
30/09/2016,843
01/10/2016,845
02/10/2016,845
03/10/2016,846
04/10/2016,847
05/10/2016,850
06/10/2016,856
07/10/2016,857
08/10/2016,858
09/10/2016,858
10/10/2016,858
11/10/2016,859
12/10/2016,859
13/10/2016,859
14/10/2016,859
15/10/2016,860
16/10/2016,860
17/10/2016,861
18/10/2016,861
19/10/2016,861
20/10/2016,861
21/10/2016,861
22/10/2016,862
23/10/2016,864
24/10/2016,872
25/10/2016,876
26/10/2016,884
27/10/2016,890
28/10/2016,899
29/10/2016,899
30/10/2016,900
31/10/2016,906
01/11/2016,908
02/11/2016,913
03/11/2016,915
04/11/2016,916
05/11/2016,917
06/11/2016,917
07/11/2016,921
08/11/2016,923
09/11/2016,925
10/11/2016,927
11/11/2016,928
12/11/2016,929
13/11/2016,929
14/11/2016,930
15/11/2016,931
16/11/2016,934
17/11/2016,938
18/11/2016,939
19/11/2016,941
20/11/2016,941
21/11/2016,941
22/11/2016,943
23/11/2016,946
24/11/2016,946
25/11/2016,946
26/11/2016,946
27/11/2016,947
28/11/2016,950
29/11/2016,952
30/11/2016,953
01/12/2016,958
02/12/2016,960
03/12/2016,961
04/12/2016,961
05/12/2016,961
06/12/2016,965
07/12/2016,966
08/12/2016,967
09/12/2016,969
10/12/2016,970
11/12/2016,970
12/12/2016,970
13/12/2016,971
14/12/2016,973
15/12/2016,974
16/12/2016,974
17/12/2016,975
18/12/2016,975
19/12/2016,977
20/12/2016,977
21/12/2016,977
22/12/2016,977
23/12/2016,979
24/12/2016,979
25/12/2016,981
26/12/2016,981
27/12/2016,981
28/12/2016,981
29/12/2016,981
30/12/2016,981
31/12/2016,981
01/01/2017,982
02/01/2017,982
03/01/2017,982
04/01/2017,982
05/01/2017,982
06/01/2017,983
07/01/2017,983
08/01/2017,984
09/01/2017,984
10/01/2017,984
11/01/2017,985
12/01/2017,985
13/01/2017,986
14/01/2017,986
15/01/2017,986
16/01/2017,988
17/01/2017,989
18/01/2017,990
