Date,Cumulative
01/10/2015,0
02/10/2015,0
03/10/2015,0
04/10/2015,0
05/10/2015,2
06/10/2015,10
07/10/2015,18
08/10/2015,23
09/10/2015,26
10/10/2015,26
11/10/2015,26
12/10/2015,45
13/10/2015,45
14/10/2015,54
15/10/2015,56
16/10/2015,70
17/10/2015,70
18/10/2015,82
19/10/2015,86
20/10/2015,91
21/10/2015,94
22/10/2015,99
23/10/2015,99
24/10/2015,99
25/10/2015,99
26/10/2015,100
27/10/2015,100
28/10/2015,100
29/10/2015,104
30/10/2015,116
31/10/2015,116
01/11/2015,116
02/11/2015,123
03/11/2015,190
04/11/2015,250
05/11/2015,342
06/11/2015,460
07/11/2015,460
08/11/2015,471
09/11/2015,474
10/11/2015,475
11/11/2015,479
12/11/2015,481
13/11/2015,481
14/11/2015,481
15/11/2015,482
16/11/2015,494
17/11/2015,497
18/11/2015,510
19/11/2015,512
20/11/2015,513
21/11/2015,513
22/11/2015,516
23/11/2015,523
24/11/2015,539
25/11/2015,543
26/11/2015,548
27/11/2015,557
28/11/2015,558
29/11/2015,563
30/11/2015,580
01/12/2015,582
02/12/2015,600
03/12/2015,611
04/12/2015,641
05/12/2015,642
06/12/2015,663
07/12/2015,665
08/12/2015,665
09/12/2015,675
10/12/2015,679
11/12/2015,721
12/12/2015,731
13/12/2015,731
14/12/2015,731
15/12/2015,731
16/12/2015,733
17/12/2015,740
18/12/2015,743
19/12/2015,743
20/12/2015,743
21/12/2015,743
22/12/2015,754
23/12/2015,755
24/12/2015,756
25/12/2015,756
26/12/2015,756
27/12/2015,756
28/12/2015,756
29/12/2015,756
30/12/2015,757
31/12/2015,757
01/01/2016,757
02/01/2016,757
03/01/2016,766
04/01/2016,767
05/01/2016,767
06/01/2016,769
07/01/2016,771
08/01/2016,775
09/01/2016,783
10/01/2016,783
11/01/2016,786
12/01/2016,798
13/01/2016,816
14/01/2016,822
15/01/2016,826
16/01/2016,826
17/01/2016,834
18/01/2016,838
19/01/2016,844
20/01/2016,844
21/01/2016,845
22/01/2016,849
23/01/2016,850
24/01/2016,851
25/01/2016,853
26/01/2016,863
27/01/2016,867
28/01/2016,867
29/01/2016,867
30/01/2016,867
31/01/2016,867
01/02/2016,869
02/02/2016,878
03/02/2016,881
04/02/2016,886
05/02/2016,887
06/02/2016,904
07/02/2016,904
08/02/2016,905
09/02/2016,921
10/02/2016,922
11/02/2016,924
12/02/2016,926
13/02/2016,927
14/02/2016,927
15/02/2016,929
16/02/2016,946
17/02/2016,950
18/02/2016,950
19/02/2016,951
20/02/2016,952
21/02/2016,952
22/02/2016,963
23/02/2016,967
24/02/2016,969
25/02/2016,970
26/02/2016,978
27/02/2016,978
28/02/2016,979
29/02/2016,1001
01/03/2016,1011
02/03/2016,1013
03/03/2016,1015
04/03/2016,1017
05/03/2016,1017
06/03/2016,1017
07/03/2016,1030
08/03/2016,1031
09/03/2016,1036
10/03/2016,1036
11/03/2016,1037
12/03/2016,1037
13/03/2016,1041
14/03/2016,1044
15/03/2016,1050
16/03/2016,1058
17/03/2016,1072
18/03/2016,1075
19/03/2016,1080
20/03/2016,1081
21/03/2016,1082
22/03/2016,1086
23/03/2016,1098
24/03/2016,1125
25/03/2016,1125
26/03/2016,1150
27/03/2016,1150
28/03/2016,1151
29/03/2016,1173
30/03/2016,1222
31/03/2016,1224
01/04/2016,1224
02/04/2016,1224
03/04/2016,1226
04/04/2016,1251
05/04/2016,1256
06/04/2016,1259
07/04/2016,1265
08/04/2016,1265
09/04/2016,1265
10/04/2016,1265
11/04/2016,1272
12/04/2016,1273
13/04/2016,1280
14/04/2016,1280
15/04/2016,1281
16/04/2016,1292
17/04/2016,1292
18/04/2016,1299
19/04/2016,1301
20/04/2016,1301
21/04/2016,1301
22/04/2016,1302
23/04/2016,1303
24/04/2016,1313
25/04/2016,1324
26/04/2016,1329
27/04/2016,1329
28/04/2016,1360
29/04/2016,1363
30/04/2016,1364
01/05/2016,1381
02/05/2016,1389
03/05/2016,1395
04/05/2016,1396
05/05/2016,1397
06/05/2016,1398
07/05/2016,1398
08/05/2016,1398
09/05/2016,1399
10/05/2016,1403
11/05/2016,1419
12/05/2016,1428
13/05/2016,1429
14/05/2016,1429
15/05/2016,1429
16/05/2016,1430
17/05/2016,1446
18/05/2016,1453
19/05/2016,1461
20/05/2016,1461
21/05/2016,1462
22/05/2016,1462
23/05/2016,1462
24/05/2016,1463
25/05/2016,1463
26/05/2016,1464
27/05/2016,1464
28/05/2016,1464
29/05/2016,1464
30/05/2016,1464
31/05/2016,1464
01/06/2016,1471
02/06/2016,1474
03/06/2016,1508
04/06/2016,1508
05/06/2016,1508
06/06/2016,1508
07/06/2016,1509
08/06/2016,1510
