Date,Applications (Total)
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,3
21/04/2015,4
22/04/2015,4
23/04/2015,4
24/04/2015,4
25/04/2015,4
26/04/2015,4
27/04/2015,4
28/04/2015,4
29/04/2015,4
30/04/2015,4
01/05/2015,4
02/05/2015,4
03/05/2015,4
04/05/2015,4
05/05/2015,4
06/05/2015,4
07/05/2015,4
08/05/2015,4
09/05/2015,4
10/05/2015,4
11/05/2015,4
12/05/2015,4
13/05/2015,4
14/05/2015,4
15/05/2015,4
16/05/2015,4
17/05/2015,4
18/05/2015,4
19/05/2015,4
20/05/2015,4
21/05/2015,4
22/05/2015,4
23/05/2015,4
24/05/2015,4
25/05/2015,4
26/05/2015,5
27/05/2015,5
28/05/2015,5
29/05/2015,5
30/05/2015,7
31/05/2015,7
01/06/2015,7
02/06/2015,7
03/06/2015,7
04/06/2015,7
05/06/2015,7
06/06/2015,7
07/06/2015,8
08/06/2015,8
09/06/2015,8
