Date,Visitors
01/01/2016,0.00
02/01/2016,0.00
03/01/2016,0.00
04/01/2016,0.00
05/01/2016,0.00
06/01/2016,0.00
07/01/2016,0.00
08/01/2016,0.00
09/01/2016,0.00
10/01/2016,0.00
11/01/2016,0.00
12/01/2016,0.00
13/01/2016,0.00
14/01/2016,0.00
15/01/2016,1.00
16/01/2016,0.00
17/01/2016,0.00
18/01/2016,4.00
19/01/2016,1.00
20/01/2016,0.00
21/01/2016,0.00
22/01/2016,4.00
23/01/2016,0.00
24/01/2016,0.00
25/01/2016,2.00
26/01/2016,0.00
27/01/2016,1.00
28/01/2016,2.00
29/01/2016,0.00
30/01/2016,0.00
31/01/2016,0.00
01/02/2016,1.00
02/02/2016,1.00
03/02/2016,1.00
04/02/2016,8.00
05/02/2016,12.00
06/02/2016,1.00
07/02/2016,0.00
08/02/2016,8.00
09/02/2016,13.00
10/02/2016,4.00
11/02/2016,8.00
12/02/2016,4.00
13/02/2016,1.00
14/02/2016,2.00
15/02/2016,8.00
16/02/2016,5.00
17/02/2016,7.00
18/02/2016,47.00
19/02/2016,11.00
20/02/2016,5.00
21/02/2016,1.00
22/02/2016,3.00
23/02/2016,7.00
24/02/2016,5.00
25/02/2016,3.00
26/02/2016,3.00
27/02/2016,0.00
28/02/2016,0.00
29/02/2016,1.00
01/03/2016,5.00
02/03/2016,2.00
03/03/2016,7.00
04/03/2016,0.00
05/03/2016,1.00
06/03/2016,0.00
07/03/2016,1
08/03/2016,2
09/03/2016,0
10/03/2016,1
11/03/2016,1
12/03/2016,0
13/03/2016,0
14/03/2016,5
15/03/2016,1
16/03/2016,0
17/03/2016,2
18/03/2016,2
19/03/2016,0
20/03/2016,0
21/03/2016,1
22/03/2016,13
23/03/2016,6
24/03/2016,0
25/03/2016,0
26/03/2016,0
27/03/2016,0
28/03/2016,1
29/03/2016,2
30/03/2016,2
31/03/2016,2
01/04/2016,4
02/04/2016,1
03/04/2016,3
04/04/2016,13
05/04/2016,18
06/04/2016,18
07/04/2016,14
08/04/2016,6
09/04/2016,1
10/04/2016,1
11/04/2016,3
12/04/2016,5
13/04/2016,3
14/04/2016,0
15/04/2016,0
16/04/2016,1
17/04/2016,0
18/04/2016,18
19/04/2016,8
20/04/2016,5
21/04/2016,12
22/04/2016,6
23/04/2016,0
24/04/2016,1
25/04/2016,3
26/04/2016,1
27/04/2016,3
28/04/2016,0
29/04/2016,3
30/04/2016,0
01/05/2016,0
02/05/2016,1
03/05/2016,2
04/05/2016,1
05/05/2016,1
06/05/2016,2
07/05/2016,0
08/05/2016,0
09/05/2016,3
10/05/2016,1
11/05/2016,4
12/05/2016,2
13/05/2016,4
14/05/2016,1
15/05/2016,1
16/05/2016,3
17/05/2016,3
18/05/2016,5
19/05/2016,3
20/05/2016,6
21/05/2016,4
22/05/2016,2
23/05/2016,3
24/05/2016,1
25/05/2016,1
26/05/2016,4
27/05/2016,2
28/05/2016,0
29/05/2016,2
30/05/2016,2
31/05/2016,4
01/06/2016,5
02/06/2016,2
03/06/2016,2
04/06/2016,2
05/06/2016,1
06/06/2016,1
07/06/2016,4
08/06/2016,1
