Date,Prequalifications
23/02/2015,1
24/02/2015,2
25/02/2015,0
26/02/2015,1
27/02/2015,4
28/02/2015,0
01/03/2015,2
02/03/2015,5
03/03/2015,3
04/03/2015,4
05/03/2015,3
06/03/2015,1
07/03/2015,1
08/03/2015,3
09/03/2015,3
10/03/2015,1
11/03/2015,4
12/03/2015,2
13/03/2015,0
14/03/2015,2
15/03/2015,0
16/03/2015,4
17/03/2015,0
18/03/2015,4
19/03/2015,2
20/03/2015,3
21/03/2015,0
22/03/2015,0
23/03/2015,4
24/03/2015,0
25/03/2015,5
26/03/2015,4
27/03/2015,3
28/03/2015,0
29/03/2015,0
30/03/2015,3
31/03/2015,1
01/04/2015,0
02/04/2015,3
03/04/2015,0
04/04/2015,0
05/04/2015,0
06/04/2015,1
07/04/2015,1
08/04/2015,1
09/04/2015,1
10/04/2015,1
11/04/2015,0
12/04/2015,1
13/04/2015,1
14/04/2015,3
15/04/2015,2
16/04/2015,1
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,1
21/04/2015,2
22/04/2015,5
23/04/2015,0
24/04/2015,0
25/04/2015,0
26/04/2015,0
27/04/2015,2
28/04/2015,3
29/04/2015,0
30/04/2015,5
01/05/2015,4
02/05/2015,1
03/05/2015,1
04/05/2015,3
05/05/2015,6
06/05/2015,7
07/05/2015,3
08/05/2015,3
09/05/2015,0
10/05/2015,0
11/05/2015,6
12/05/2015,4
13/05/2015,2
14/05/2015,3
15/05/2015,1
16/05/2015,0
17/05/2015,0
18/05/2015,9
19/05/2015,0
20/05/2015,2
21/05/2015,2
22/05/2015,0
23/05/2015,0
24/05/2015,0
25/05/2015,3
26/05/2015,0
27/05/2015,5
28/05/2015,2
29/05/2015,3
30/05/2015,1
31/05/2015,0
01/06/2015,1
02/06/2015,5
03/06/2015,0
04/06/2015,2
05/06/2015,0
06/06/2015,0
07/06/2015,0
08/06/2015,1
09/06/2015,2
10/06/2015,0
11/06/2015,2
12/06/2015,1
13/06/2015,0
14/06/2015,0
15/06/2015,0
16/06/2015,0
17/06/2015,3
18/06/2015,2
19/06/2015,0
20/06/2015,0
21/06/2015,0
22/06/2015,1
23/06/2015,3
24/06/2015,4
25/06/2015,2
26/06/2015,1
27/06/2015,1
28/06/2015,1
29/06/2015,1
30/06/2015,1
01/07/2015,3
02/07/2015,3
03/07/2015,4
04/07/2015,0
05/07/2015,1
06/07/2015,0
07/07/2015,3
08/07/2015,2
09/07/2015,2
10/07/2015,1
11/07/2015,0
12/07/2015,0
13/07/2015,1
14/07/2015,0
15/07/2015,2
16/07/2015,5
17/07/2015,0
18/07/2015,0
19/07/2015,2
20/07/2015,2
21/07/2015,2
22/07/2015,0
23/07/2015,2
24/07/2015,1
25/07/2015,0
26/07/2015,0
27/07/2015,0
28/07/2015,2
29/07/2015,4
30/07/2015,3
31/07/2015,0
01/08/2015,0
02/08/2015,0
03/08/2015,2
04/08/2015,1
05/08/2015,1
06/08/2015,3
07/08/2015,3
08/08/2015,2
09/08/2015,0
10/08/2015,1
11/08/2015,0
12/08/2015,0
13/08/2015,0
14/08/2015,0
15/08/2015,1
16/08/2015,2
17/08/2015,1
18/08/2015,2
19/08/2015,2
20/08/2015,1
21/08/2015,1
22/08/2015,0
23/08/2015,0
24/08/2015,3
25/08/2015,1
26/08/2015,2
27/08/2015,1
28/08/2015,1
29/08/2015,0
30/08/2015,0
31/08/2015,0
01/09/2015,0
02/09/2015,3
03/09/2015,1
04/09/2015,0
05/09/2015,0
06/09/2015,0
07/09/2015,1
08/09/2015,1
09/09/2015,3
10/09/2015,2
11/09/2015,2
12/09/2015,0
13/09/2015,1
14/09/2015,1
15/09/2015,4
16/09/2015,1
17/09/2015,1
18/09/2015,1
19/09/2015,0
20/09/2015,2
21/09/2015,2
22/09/2015,9
23/09/2015,4
24/09/2015,1
25/09/2015,3
26/09/2015,0
27/09/2015,0
28/09/2015,1
29/09/2015,1
30/09/2015,1
01/10/2015,1
02/10/2015,1
03/10/2015,0
04/10/2015,0
05/10/2015,0
06/10/2015,1
07/10/2015,1
08/10/2015,4
09/10/2015,1
10/10/2015,0
11/10/2015,0
12/10/2015,0
13/10/2015,2
14/10/2015,3
15/10/2015,1
16/10/2015,0
17/10/2015,1
18/10/2015,1
19/10/2015,1
20/10/2015,0
21/10/2015,2
22/10/2015,1
23/10/2015,0
24/10/2015,0
25/10/2015,1
26/10/2015,0
27/10/2015,0
28/10/2015,1
29/10/2015,5
30/10/2015,5
31/10/2015,1
01/11/2015,0
02/11/2015,2
03/11/2015,2
04/11/2015,3
05/11/2015,4
06/11/2015,2
07/11/2015,2
08/11/2015,4
09/11/2015,3
10/11/2015,1
11/11/2015,3
12/11/2015,4
13/11/2015,2
14/11/2015,0
15/11/2015,0
16/11/2015,1
17/11/2015,1
18/11/2015,1
19/11/2015,1
20/11/2015,4
21/11/2015,2
22/11/2015,1
23/11/2015,2
24/11/2015,5
25/11/2015,2
26/11/2015,0
27/11/2015,0
28/11/2015,1
29/11/2015,2
30/11/2015,0
01/12/2015,2
02/12/2015,9
03/12/2015,6
04/12/2015,4
05/12/2015,1
06/12/2015,0
07/12/2015,4
08/12/2015,3
09/12/2015,3
10/12/2015,2
11/12/2015,1
12/12/2015,0
13/12/2015,0
14/12/2015,2
15/12/2015,1
16/12/2015,1
17/12/2015,5
18/12/2015,1
19/12/2015,1
20/12/2015,1
21/12/2015,0
22/12/2015,1
23/12/2015,1
24/12/2015,0
25/12/2015,0
26/12/2015,0
27/12/2015,0
28/12/2015,0
29/12/2015,0
30/12/2015,0
31/12/2015,0
01/01/2016,0
02/01/2016,0
03/01/2016,0
04/01/2016,0
05/01/2016,0
06/01/2016,1
07/01/2016,0
08/01/2016,1
09/01/2016,0
10/01/2016,0
11/01/2016,1
12/01/2016,1
13/01/2016,0
14/01/2016,1
15/01/2016,4
16/01/2016,0
17/01/2016,0
18/01/2016,1
19/01/2016,1
20/01/2016,1
21/01/2016,1
22/01/2016,0
23/01/2016,1
24/01/2016,0
25/01/2016,2
26/01/2016,1
27/01/2016,1
28/01/2016,2
29/01/2016,2
30/01/2016,1
31/01/2016,0
01/02/2016,1
02/02/2016,0
03/02/2016,0
04/02/2016,2
05/02/2016,3
06/02/2016,0
07/02/2016,2
08/02/2016,2
09/02/2016,3
10/02/2016,4
11/02/2016,0
12/02/2016,1
13/02/2016,2
14/02/2016,0
15/02/2016,4
16/02/2016,2
17/02/2016,0
18/02/2016,1
19/02/2016,1
20/02/2016,0
21/02/2016,0
22/02/2016,1
23/02/2016,8
24/02/2016,7
25/02/2016,2
26/02/2016,4
27/02/2016,1
28/02/2016,1
29/02/2016,3
01/03/2016,6
02/03/2016,2
03/03/2016,6
04/03/2016,3
05/03/2016,1
06/03/2016,2
07/03/2016,3
08/03/2016,1
09/03/2016,2
10/03/2016,6
11/03/2016,4
12/03/2016,1
13/03/2016,0
14/03/2016,2
15/03/2016,2
16/03/2016,2
17/03/2016,3
18/03/2016,7
19/03/2016,0
20/03/2016,0
21/03/2016,3
22/03/2016,2
23/03/2016,3
24/03/2016,3
25/03/2016,0
26/03/2016,0
27/03/2016,1
28/03/2016,0
29/03/2016,2
30/03/2016,3
31/03/2016,1
01/04/2016,1
02/04/2016,2
03/04/2016,0
04/04/2016,1
05/04/2016,2
06/04/2016,1
07/04/2016,1
08/04/2016,1
09/04/2016,0
10/04/2016,0
11/04/2016,1
12/04/2016,3
13/04/2016,2
14/04/2016,2
15/04/2016,2
16/04/2016,1
17/04/2016,2
18/04/2016,5
19/04/2016,0
20/04/2016,0
21/04/2016,1
22/04/2016,1
23/04/2016,0
24/04/2016,1
25/04/2016,4
26/04/2016,1
27/04/2016,1
28/04/2016,0
29/04/2016,2
30/04/2016,0
01/05/2016,0
02/05/2016,1
03/05/2016,1
04/05/2016,0
05/05/2016,0
06/05/2016,2
07/05/2016,0
08/05/2016,0
09/05/2016,2
10/05/2016,1
11/05/2016,1
12/05/2016,1
13/05/2016,1
14/05/2016,0
15/05/2016,0
16/05/2016,1
17/05/2016,1
18/05/2016,1
19/05/2016,1
20/05/2016,1
21/05/2016,0
22/05/2016,0
23/05/2016,0
24/05/2016,0
25/05/2016,2
26/05/2016,0
27/05/2016,3
28/05/2016,0
29/05/2016,0
30/05/2016,0
31/05/2016,1
01/06/2016,3
02/06/2016,4
03/06/2016,0
04/06/2016,0
05/06/2016,0
06/06/2016,1
07/06/2016,0
08/06/2016,1
