 ,Total
19/05/2015,0
20/05/2015,0
21/05/2015,0
22/05/2015,0
23/05/2015,0
24/05/2015,1
25/05/2015,1
26/05/2015,62
27/05/2015,77
28/05/2015,92
29/05/2015,104
30/05/2015,106
31/05/2015,108
01/06/2015,117
02/06/2015,125
03/06/2015,133
04/06/2015,149
05/06/2015,153
06/06/2015,153
07/06/2015,155
08/06/2015,159
09/06/2015,166
10/06/2015,179
11/06/2015,184
12/06/2015,186
13/06/2015,187
14/06/2015,188
15/06/2015,194
16/06/2015,196
17/06/2015,199
18/06/2015,201
19/06/2015,203
20/06/2015,203
21/06/2015,203
22/06/2015,206
23/06/2015,212
24/06/2015,215
25/06/2015,219
26/06/2015,223
27/06/2015,223
28/06/2015,223
29/06/2015,223
30/06/2015,224
01/07/2015,227
02/07/2015,230
03/07/2015,232
04/07/2015,232
05/07/2015,232
06/07/2015,235
07/07/2015,236
08/07/2015,238
09/07/2015,238
10/07/2015,239
11/07/2015,239
12/07/2015,239
13/07/2015,240
14/07/2015,241
15/07/2015,244
16/07/2015,248
17/07/2015,250
18/07/2015,250
19/07/2015,250
20/07/2015,252
21/07/2015,261
22/07/2015,267
23/07/2015,271
24/07/2015,272
25/07/2015,272
26/07/2015,272
27/07/2015,275
28/07/2015,279
29/07/2015,285
30/07/2015,287
31/07/2015,290
01/08/2015,290
02/08/2015,292
03/08/2015,296
04/08/2015,297
05/08/2015,299
06/08/2015,303
07/08/2015,306
08/08/2015,307
09/08/2015,307
10/08/2015,310
11/08/2015,314
12/08/2015,317
13/08/2015,319
14/08/2015,320
15/08/2015,320
16/08/2015,320
17/08/2015,326
18/08/2015,329
19/08/2015,332
20/08/2015,335
21/08/2015,336
22/08/2015,336
23/08/2015,336
24/08/2015,340
25/08/2015,345
26/08/2015,346
27/08/2015,348
28/08/2015,352
29/08/2015,352
30/08/2015,353
31/08/2015,357
01/09/2015,358
02/09/2015,359
03/09/2015,362
04/09/2015,367
05/09/2015,369
06/09/2015,370
07/09/2015,372
08/09/2015,378
09/09/2015,383
10/09/2015,387
11/09/2015,389
12/09/2015,389
13/09/2015,391
14/09/2015,397
15/09/2015,402
16/09/2015,404
17/09/2015,408
18/09/2015,410
19/09/2015,410
20/09/2015,410
21/09/2015,415
22/09/2015,417
23/09/2015,420
24/09/2015,429
25/09/2015,432
26/09/2015,434
27/09/2015,434
28/09/2015,439
29/09/2015,446
30/09/2015,450
01/10/2015,453
02/10/2015,456
03/10/2015,456
04/10/2015,458
05/10/2015,462
06/10/2015,465
07/10/2015,470
08/10/2015,470
09/10/2015,471
10/10/2015,473
11/10/2015,474
12/10/2015,477
13/10/2015,487
14/10/2015,493
15/10/2015,498
16/10/2015,502
17/10/2015,502
18/10/2015,503
19/10/2015,506
20/10/2015,513
21/10/2015,515
22/10/2015,521
23/10/2015,527
24/10/2015,529
25/10/2015,529
26/10/2015,530
27/10/2015,532
28/10/2015,539
29/10/2015,569
30/10/2015,589
31/10/2015,595
01/11/2015,596
02/11/2015,601
03/11/2015,612
04/11/2015,618
05/11/2015,627
06/11/2015,637
07/11/2015,644
08/11/2015,646
09/11/2015,654
10/11/2015,660
11/11/2015,665
12/11/2015,674
13/11/2015,682
14/11/2015,684
15/11/2015,685
16/11/2015,694
17/11/2015,703
18/11/2015,708
19/11/2015,719
20/11/2015,727
21/11/2015,732
22/11/2015,738
23/11/2015,750
24/11/2015,770
25/11/2015,782
26/11/2015,789
27/11/2015,798
28/11/2015,801
29/11/2015,806
30/11/2015,814
01/12/2015,819
02/12/2015,851
03/12/2015,858
04/12/2015,863
05/12/2015,863
06/12/2015,866
07/12/2015,871
08/12/2015,878
09/12/2015,880
10/12/2015,889
11/12/2015,893
12/12/2015,895
13/12/2015,895
14/12/2015,899
15/12/2015,904
16/12/2015,910
17/12/2015,916
18/12/2015,918
19/12/2015,918
20/12/2015,920
21/12/2015,923
22/12/2015,930
23/12/2015,936
24/12/2015,937
25/12/2015,937
26/12/2015,938
27/12/2015,939
28/12/2015,940
29/12/2015,940
30/12/2015,942
31/12/2015,942
01/01/2016,942
02/01/2016,943
03/01/2016,943
04/01/2016,945
05/01/2016,949
06/01/2016,952
07/01/2016,958
08/01/2016,961
09/01/2016,961
10/01/2016,962
11/01/2016,966
12/01/2016,980
13/01/2016,985
14/01/2016,991
15/01/2016,996
16/01/2016,997
17/01/2016,1000
18/01/2016,1006
19/01/2016,1015
20/01/2016,1019
21/01/2016,1033
22/01/2016,1047
23/01/2016,1048
24/01/2016,1048
25/01/2016,1064
26/01/2016,1069
27/01/2016,1078
28/01/2016,1086
29/01/2016,1091
30/01/2016,1094
31/01/2016,1095
01/02/2016,1100
02/02/2016,1108
03/02/2016,1119
04/02/2016,1123
05/02/2016,1129
06/02/2016,1129
07/02/2016,1130
08/02/2016,1140
09/02/2016,1150
10/02/2016,1155
11/02/2016,1158
12/02/2016,1160
13/02/2016,1160
14/02/2016,1161
15/02/2016,1164
16/02/2016,1171
17/02/2016,1175
18/02/2016,1180
19/02/2016,1184
20/02/2016,1184
21/02/2016,1186
22/02/2016,1192
23/02/2016,1209
24/02/2016,1221
25/02/2016,1232
26/02/2016,1249
27/02/2016,1254
28/02/2016,1257
29/02/2016,1269
01/03/2016,1279
02/03/2016,1291
03/03/2016,1300
04/03/2016,1311
05/03/2016,1313
06/03/2016,1322
07/03/2016,1336
08/03/2016,1340
09/03/2016,1355
10/03/2016,1364
11/03/2016,1369
12/03/2016,1370
13/03/2016,1371
14/03/2016,1381
15/03/2016,1392
16/03/2016,1398
17/03/2016,1403
18/03/2016,1414
19/03/2016,1418
20/03/2016,1420
21/03/2016,1431
22/03/2016,1435
23/03/2016,1439
24/03/2016,1447
25/03/2016,1450
26/03/2016,1451
27/03/2016,1452
28/03/2016,1454
29/03/2016,1464
30/03/2016,1478
31/03/2016,1487
01/04/2016,1491
02/04/2016,1494
03/04/2016,1499
04/04/2016,1506
05/04/2016,1515
06/04/2016,1525
07/04/2016,1528
08/04/2016,1530
09/04/2016,1532
10/04/2016,1536
11/04/2016,1544
12/04/2016,1555
13/04/2016,1565
14/04/2016,1574
15/04/2016,1587
16/04/2016,1591
17/04/2016,1597
18/04/2016,1603
19/04/2016,1611
20/04/2016,1618
21/04/2016,1624
22/04/2016,1628
23/04/2016,1628
24/04/2016,1628
25/04/2016,1634
26/04/2016,1642
27/04/2016,1648
28/04/2016,1653
29/04/2016,1657
30/04/2016,1658
01/05/2016,1658
02/05/2016,1661
03/05/2016,1663
04/05/2016,1668
05/05/2016,1676
06/05/2016,1679
07/05/2016,1681
08/05/2016,1684
09/05/2016,1688
10/05/2016,1693
11/05/2016,1697
12/05/2016,1700
13/05/2016,1705
14/05/2016,1705
15/05/2016,1705
16/05/2016,1711
17/05/2016,1716
18/05/2016,1722
19/05/2016,1731
20/05/2016,1735
21/05/2016,1737
22/05/2016,1739
23/05/2016,1741
24/05/2016,1742
25/05/2016,1746
26/05/2016,1753
27/05/2016,1756
28/05/2016,1756
29/05/2016,1756
30/05/2016,1756
31/05/2016,1759
01/06/2016,1763
02/06/2016,1770
03/06/2016,1773
04/06/2016,1773
05/06/2016,1774
06/06/2016,1778
07/06/2016,1787
08/06/2016,1792
09/06/2016,1796
10/06/2016,1797
11/06/2016,1798
12/06/2016,1799
13/06/2016,1810
14/06/2016,1814
15/06/2016,1817
16/06/2016,1823
17/06/2016,1826
18/06/2016,1826
19/06/2016,1827
20/06/2016,1832
21/06/2016,1838
22/06/2016,1843
23/06/2016,1850
24/06/2016,1851
25/06/2016,1853
26/06/2016,1853
27/06/2016,1854
28/06/2016,1860
29/06/2016,1865
30/06/2016,1871
01/07/2016,1876
02/07/2016,1876
03/07/2016,1878
04/07/2016,1884
05/07/2016,1889
06/07/2016,1893
07/07/2016,1898
08/07/2016,1901
09/07/2016,1903
10/07/2016,1903
11/07/2016,1904
12/07/2016,1908
13/07/2016,1909
14/07/2016,1911
15/07/2016,1911
16/07/2016,1915
17/07/2016,1915
18/07/2016,1915
19/07/2016,1917
20/07/2016,1920
21/07/2016,1923
22/07/2016,1929
23/07/2016,1932
24/07/2016,1933
25/07/2016,1933
26/07/2016,1936
27/07/2016,1939
28/07/2016,1941
29/07/2016,1945
30/07/2016,1948
31/07/2016,1948
01/08/2016,1948
02/08/2016,1950
03/08/2016,1950
