Date,Prequalifications
19/05/2015,0
20/05/2015,0
21/05/2015,0
22/05/2015,0
23/05/2015,0
24/05/2015,1
25/05/2015,0
26/05/2015,61
27/05/2015,15
28/05/2015,15
29/05/2015,12
30/05/2015,2
31/05/2015,2
01/06/2015,9
02/06/2015,8
03/06/2015,8
04/06/2015,16
05/06/2015,4
06/06/2015,0
07/06/2015,2
08/06/2015,4
09/06/2015,7
10/06/2015,13
11/06/2015,5
12/06/2015,2
13/06/2015,1
14/06/2015,1
15/06/2015,6
16/06/2015,2
17/06/2015,3
18/06/2015,2
19/06/2015,2
20/06/2015,0
21/06/2015,0
22/06/2015,3
23/06/2015,6
24/06/2015,3
25/06/2015,4
26/06/2015,4
27/06/2015,0
28/06/2015,0
29/06/2015,0
30/06/2015,1
01/07/2015,3
02/07/2015,3
03/07/2015,2
04/07/2015,0
05/07/2015,0
06/07/2015,3
07/07/2015,1
08/07/2015,2
09/07/2015,0
10/07/2015,1
11/07/2015,0
12/07/2015,0
13/07/2015,1
14/07/2015,1
15/07/2015,3
16/07/2015,4
17/07/2015,2
18/07/2015,0
19/07/2015,0
20/07/2015,2
21/07/2015,9
22/07/2015,6
23/07/2015,4
24/07/2015,1
25/07/2015,0
26/07/2015,0
27/07/2015,3
28/07/2015,4
29/07/2015,6
30/07/2015,2
31/07/2015,3
01/08/2015,0
02/08/2015,2
03/08/2015,4
04/08/2015,1
05/08/2015,2
06/08/2015,4
07/08/2015,3
08/08/2015,1
09/08/2015,0
10/08/2015,3
11/08/2015,4
12/08/2015,3
13/08/2015,2
14/08/2015,1
15/08/2015,0
16/08/2015,0
17/08/2015,6
18/08/2015,3
19/08/2015,3
20/08/2015,3
21/08/2015,1
22/08/2015,0
23/08/2015,0
24/08/2015,4
25/08/2015,5
26/08/2015,1
27/08/2015,2
28/08/2015,4
29/08/2015,0
30/08/2015,1
31/08/2015,4
01/09/2015,1
02/09/2015,1
03/09/2015,3
04/09/2015,5
05/09/2015,2
06/09/2015,1
07/09/2015,2
08/09/2015,6
09/09/2015,5
10/09/2015,4
11/09/2015,2
12/09/2015,0
13/09/2015,2
14/09/2015,6
15/09/2015,5
16/09/2015,2
17/09/2015,4
18/09/2015,2
19/09/2015,0
20/09/2015,0
21/09/2015,5
22/09/2015,2
23/09/2015,3
24/09/2015,9
25/09/2015,3
26/09/2015,2
27/09/2015,0
28/09/2015,5
29/09/2015,7
30/09/2015,4
01/10/2015,3
02/10/2015,3
03/10/2015,0
04/10/2015,2
05/10/2015,4
06/10/2015,3
07/10/2015,5
08/10/2015,0
09/10/2015,1
10/10/2015,2
11/10/2015,1
12/10/2015,3
13/10/2015,10
14/10/2015,6
15/10/2015,5
16/10/2015,4
17/10/2015,0
18/10/2015,1
19/10/2015,3
20/10/2015,7
21/10/2015,2
22/10/2015,6
23/10/2015,6
24/10/2015,2
25/10/2015,0
26/10/2015,1
27/10/2015,2
28/10/2015,7
29/10/2015,30
30/10/2015,20
31/10/2015,6
01/11/2015,1
02/11/2015,5
03/11/2015,11
04/11/2015,6
05/11/2015,9
06/11/2015,10
07/11/2015,7
08/11/2015,2
09/11/2015,8
10/11/2015,6
11/11/2015,5
12/11/2015,9
13/11/2015,8
14/11/2015,2
15/11/2015,1
16/11/2015,9
17/11/2015,9
18/11/2015,5
19/11/2015,11
20/11/2015,8
21/11/2015,5
22/11/2015,6
23/11/2015,12
24/11/2015,20
25/11/2015,12
26/11/2015,7
27/11/2015,9
28/11/2015,3
29/11/2015,5
30/11/2015,8
01/12/2015,5
02/12/2015,32
03/12/2015,7
04/12/2015,5
05/12/2015,0
06/12/2015,3
07/12/2015,5
08/12/2015,7
09/12/2015,2
10/12/2015,9
11/12/2015,4
12/12/2015,2
13/12/2015,0
14/12/2015,4
15/12/2015,5
16/12/2015,6
17/12/2015,6
18/12/2015,2
19/12/2015,0
20/12/2015,2
21/12/2015,3
22/12/2015,7
23/12/2015,6
24/12/2015,1
25/12/2015,0
26/12/2015,1
27/12/2015,1
28/12/2015,1
29/12/2015,0
30/12/2015,2
31/12/2015,0
01/01/2016,0
02/01/2016,1
03/01/2016,0
04/01/2016,2
05/01/2016,4
06/01/2016,3
07/01/2016,6
08/01/2016,3
09/01/2016,0
10/01/2016,1
11/01/2016,4
12/01/2016,14
13/01/2016,5
14/01/2016,6
15/01/2016,5
16/01/2016,1
17/01/2016,3
18/01/2016,6
19/01/2016,9
20/01/2016,4
21/01/2016,14
22/01/2016,14
23/01/2016,1
24/01/2016,0
25/01/2016,16
26/01/2016,5
27/01/2016,9
28/01/2016,8
29/01/2016,5
30/01/2016,3
31/01/2016,1
01/02/2016,5
02/02/2016,8
03/02/2016,11
04/02/2016,4
05/02/2016,6
06/02/2016,0
07/02/2016,1
08/02/2016,10
09/02/2016,10
10/02/2016,5
11/02/2016,3
12/02/2016,2
13/02/2016,0
14/02/2016,1
15/02/2016,3
16/02/2016,7
17/02/2016,4
18/02/2016,5
19/02/2016,4
20/02/2016,0
21/02/2016,2
22/02/2016,6
23/02/2016,17
24/02/2016,12
25/02/2016,11
26/02/2016,17
27/02/2016,5
28/02/2016,3
29/02/2016,12
01/03/2016,10
02/03/2016,12
03/03/2016,9
04/03/2016,11
05/03/2016,2
06/03/2016,9
07/03/2016,14
08/03/2016,4
09/03/2016,15
10/03/2016,9
11/03/2016,5
12/03/2016,1
13/03/2016,1
14/03/2016,10
15/03/2016,11
16/03/2016,6
17/03/2016,5
18/03/2016,11
19/03/2016,4
20/03/2016,2
21/03/2016,11
22/03/2016,4
23/03/2016,4
24/03/2016,8
25/03/2016,3
26/03/2016,1
27/03/2016,1
28/03/2016,2
29/03/2016,10
30/03/2016,14
31/03/2016,9
01/04/2016,4
02/04/2016,3
03/04/2016,5
04/04/2016,7
05/04/2016,9
06/04/2016,10
07/04/2016,3
08/04/2016,2
09/04/2016,2
10/04/2016,4
11/04/2016,8
12/04/2016,11
13/04/2016,10
14/04/2016,9
15/04/2016,13
16/04/2016,4
17/04/2016,6
18/04/2016,6
19/04/2016,8
20/04/2016,7
21/04/2016,6
22/04/2016,4
23/04/2016,0
24/04/2016,0
25/04/2016,6
26/04/2016,8
27/04/2016,6
28/04/2016,5
29/04/2016,4
30/04/2016,1
01/05/2016,0
02/05/2016,3
03/05/2016,2
04/05/2016,5
05/05/2016,8
06/05/2016,3
07/05/2016,2
08/05/2016,3
09/05/2016,4
10/05/2016,5
11/05/2016,4
12/05/2016,3
13/05/2016,5
14/05/2016,0
15/05/2016,0
16/05/2016,6
17/05/2016,5
18/05/2016,6
19/05/2016,9
20/05/2016,4
21/05/2016,2
22/05/2016,2
23/05/2016,2
24/05/2016,1
25/05/2016,4
26/05/2016,7
27/05/2016,3
28/05/2016,0
29/05/2016,0
30/05/2016,0
31/05/2016,3
01/06/2016,4
02/06/2016,7
03/06/2016,3
04/06/2016,0
05/06/2016,1
06/06/2016,4
07/06/2016,9
08/06/2016,5
09/06/2016,4
10/06/2016,1
11/06/2016,1
12/06/2016,1
13/06/2016,11
14/06/2016,4
15/06/2016,3
16/06/2016,6
17/06/2016,3
18/06/2016,0
19/06/2016,1
20/06/2016,5
21/06/2016,6
22/06/2016,5
23/06/2016,7
24/06/2016,1
25/06/2016,2
26/06/2016,0
27/06/2016,1
28/06/2016,6
29/06/2016,5
30/06/2016,6
01/07/2016,5
02/07/2016,0
03/07/2016,2
04/07/2016,6
05/07/2016,5
06/07/2016,4
07/07/2016,5
08/07/2016,3
09/07/2016,2
10/07/2016,0
11/07/2016,1
12/07/2016,4
13/07/2016,1
14/07/2016,2
15/07/2016,4
16/07/2016,0
17/07/2016,0
18/07/2016,2
19/07/2016,3
20/07/2016,3
21/07/2016,6
22/07/2016,3
23/07/2016,1
24/07/2016,0
25/07/2016,3
26/07/2016,3
27/07/2016,2
28/07/2016,4
29/07/2016,3
30/07/2016,0
31/07/2016,0
01/08/2016,2
02/08/2016,0
03/08/2016,4
,
