Date,Applications (Total)
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,3
21/04/2015,4
22/04/2015,4
23/04/2015,4
24/04/2015,4
25/04/2015,4
26/04/2015,4
27/04/2015,4
28/04/2015,4
29/04/2015,4
30/04/2015,4
01/05/2015,4
02/05/2015,4
03/05/2015,4
04/05/2015,4
05/05/2015,4
06/05/2015,4
07/05/2015,4
08/05/2015,4
09/05/2015,4
10/05/2015,4
11/05/2015,4
12/05/2015,4
13/05/2015,4
14/05/2015,4
15/05/2015,4
16/05/2015,4
17/05/2015,4
18/05/2015,4
19/05/2015,4
20/05/2015,4
21/05/2015,4
22/05/2015,4
23/05/2015,4
24/05/2015,4
25/05/2015,4
26/05/2015,5
27/05/2015,5
28/05/2015,5
29/05/2015,5
30/05/2015,7
31/05/2015,7
01/06/2015,7
02/06/2015,7
03/06/2015,7
04/06/2015,7
05/06/2015,7
06/06/2015,7
07/06/2015,8
08/06/2015,8
09/06/2015,8
10/06/2015,8
11/06/2015,8
12/06/2015,8
13/06/2015,8
14/06/2015,8
15/06/2015,8
16/06/2015,8
17/06/2015,8
18/06/2015,8
19/06/2015,9
20/06/2015,9
21/06/2015,9
22/06/2015,9
23/06/2015,9
24/06/2015,9
25/06/2015,9
26/06/2015,9
27/06/2015,9
28/06/2015,9
29/06/2015,9
30/06/2015,9
01/07/2015,9
02/07/2015,9
03/07/2015,9
04/07/2015,9
05/07/2015,9
06/07/2015,9
07/07/2015,9
08/07/2015,9
09/07/2015,9
10/07/2015,9
11/07/2015,10
12/07/2015,10
13/07/2015,10
14/07/2015,10
15/07/2015,10
16/07/2015,10
17/07/2015,10
18/07/2015,10
19/07/2015,10
20/07/2015,10
21/07/2015,10
22/07/2015,10
23/07/2015,10
24/07/2015,10
25/07/2015,10
26/07/2015,10
27/07/2015,10
28/07/2015,10
29/07/2015,10
30/07/2015,10
31/07/2015,10
01/08/2015,10
02/08/2015,10
03/08/2015,11
