Date,Visitors (Total)
01/01/2016,0
02/01/2016,0
03/01/2016,0
04/01/2016,0
05/01/2016,0
06/01/2016,0
07/01/2016,0
08/01/2016,0
09/01/2016,0
10/01/2016,0
11/01/2016,0
12/01/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,1
16/01/2016,1
17/01/2016,1
18/01/2016,5
19/01/2016,6
20/01/2016,6
21/01/2016,6
22/01/2016,10
23/01/2016,10
24/01/2016,10
25/01/2016,12
26/01/2016,12
27/01/2016,13
28/01/2016,15
29/01/2016,15
30/01/2016,15
31/01/2016,15
01/02/2016,16
02/02/2016,17
03/02/2016,18
04/02/2016,26
05/02/2016,38
06/02/2016,39
07/02/2016,39
08/02/2016,47
09/02/2016,60
10/02/2016,64
11/02/2016,72
12/02/2016,76
13/02/2016,77
14/02/2016,79
15/02/2016,87
16/02/2016,92
17/02/2016,99
18/02/2016,146
19/02/2016,157
20/02/2016,162
21/02/2016,163
22/02/2016,166
23/02/2016,173
24/02/2016,178
25/02/2016,181
26/02/2016,184
27/02/2016,184
28/02/2016,184
29/02/2016,185
01/03/2016,190
02/03/2016,192
03/03/2016,199
04/03/2016,199
05/03/2016,200
06/03/2016,200
07/03/2016,201
08/03/2016,203
09/03/2016,203
10/03/2016,204
11/03/2016,205
12/03/2016,205
13/03/2016,205
14/03/2016,210
15/03/2016,211
16/03/2016,211
17/03/2016,213
18/03/2016,215
19/03/2016,215
20/03/2016,215
21/03/2016,216
22/03/2016,229
23/03/2016,235
24/03/2016,235
25/03/2016,235
26/03/2016,235
27/03/2016,235
28/03/2016,236
29/03/2016,238
30/03/2016,240
31/03/2016,242
01/04/2016,246
02/04/2016,247
03/04/2016,250
04/04/2016,263
05/04/2016,281
06/04/2016,299
07/04/2016,313
08/04/2016,319
09/04/2016,320
10/04/2016,321
11/04/2016,324
12/04/2016,329
13/04/2016,332
14/04/2016,332
15/04/2016,332
16/04/2016,333
17/04/2016,333
18/04/2016,351
19/04/2016,359
20/04/2016,364
21/04/2016,376
22/04/2016,382
23/04/2016,382
24/04/2016,383
25/04/2016,386
26/04/2016,387
27/04/2016,390
28/04/2016,390
29/04/2016,393
30/04/2016,393
01/05/2016,393
02/05/2016,394
03/05/2016,396
04/05/2016,397
05/05/2016,398
06/05/2016,400
07/05/2016,400
08/05/2016,400
09/05/2016,403
10/05/2016,404
11/05/2016,408
12/05/2016,410
13/05/2016,414
14/05/2016,415
15/05/2016,416
16/05/2016,419
17/05/2016,422
18/05/2016,427
19/05/2016,430
20/05/2016,436
21/05/2016,440
22/05/2016,442
23/05/2016,445
24/05/2016,446
25/05/2016,447
26/05/2016,451
27/05/2016,453
28/05/2016,453
29/05/2016,455
30/05/2016,457
31/05/2016,461
01/06/2016,466
02/06/2016,468
03/06/2016,470
04/06/2016,472
05/06/2016,473
06/06/2016,474
07/06/2016,478
08/06/2016,479
09/06/2016,484
10/06/2016,487
11/06/2016,487
12/06/2016,487
13/06/2016,491
14/06/2016,493
15/06/2016,495
16/06/2016,497
17/06/2016,498
18/06/2016,498
19/06/2016,500
20/06/2016,502
21/06/2016,503
22/06/2016,504
23/06/2016,504
24/06/2016,505
25/06/2016,505
26/06/2016,505
27/06/2016,505
28/06/2016,505
29/06/2016,508
30/06/2016,510
01/07/2016,510
02/07/2016,511
03/07/2016,511
04/07/2016,512
05/07/2016,544
06/07/2016,602
07/07/2016,626
08/07/2016,639
09/07/2016,657
10/07/2016,660
11/07/2016,669
12/07/2016,673
13/07/2016,678
14/07/2016,681
15/07/2016,681.00
16/07/2016,682.00
17/07/2016,683.00
18/07/2016,687.00
19/07/2016,691.00
20/07/2016,692.00
21/07/2016,692.00
22/07/2016,699.00
23/07/2016,701.00
24/07/2016,711.00
25/07/2016,717.00
26/07/2016,720.00
27/07/2016,730.00
28/07/2016,738.00
29/07/2016,738.00
30/07/2016,738.00
31/07/2016,739.00
01/08/2016,741.00
02/08/2016,742.00
03/08/2016,742.00
